[34m[1mwandb[0m: Detected [agents] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Weave is installed but not imported. Add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai
Weights & Biases initialized.
Game: 0001/500 | Score: 00 | Steps: 003 | Epsilon: 1.000
Game: 0002/500 | Score: 00 | Steps: 001 | Epsilon: 1.000
Game: 0003/500 | Score: 00 | Steps: 005 | Epsilon: 1.000
Game: 0004/500 | Score: 00 | Steps: 011 | Epsilon: 1.000
Game: 0005/500 | Score: 00 | Steps: 001 | Epsilon: 1.000
Game: 0006/500 | Score: 00 | Steps: 006 | Epsilon: 1.000
Game: 0007/500 | Score: 00 | Steps: 001 | Epsilon: 1.000
Game: 0008/500 | Score: 00 | Steps: 001 | Epsilon: 1.000
Game: 0009/500 | Score: 00 | Steps: 002 | Epsilon: 1.000
Game: 0010/500 | Score: 00 | Steps: 010 | Epsilon: 1.000
Game: 0011/500 | Score: 00 | Steps: 007 | Epsilon: 1.000
Game: 0012/500 | Score: 00 | Steps: 002 | Epsilon: 1.000
Game: 0013/500 | Score: 00 | Steps: 007 | Epsilon: 1.000
Game: 0014/500 | Score: 00 | Steps: 001 | Epsilon: 1.000
C:\Users\vvv\Desktop\RL Snake\agents\dqn_agent.py:42: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\utils\tensor_new.cpp:256.)
  states = torch.tensor(states, dtype=torch.float32)
Game: 0015/500 | Score: 00 | Steps: 009 | Epsilon: 0.980
Game: 0016/500 | Score: 00 | Steps: 003 | Epsilon: 0.966
Game: 0017/500 | Score: 00 | Steps: 009 | Epsilon: 0.923
Game: 0018/500 | Score: 00 | Steps: 001 | Epsilon: 0.918
Game: 0019/500 | Score: 00 | Steps: 001 | Epsilon: 0.914
Game: 0020/500 | Score: 00 | Steps: 007 | Epsilon: 0.882
Game: 0021/500 | Score: 00 | Steps: 003 | Epsilon: 0.869
Game: 0022/500 | Score: 00 | Steps: 006 | Epsilon: 0.843
Game: 0023/500 | Score: 00 | Steps: 001 | Epsilon: 0.839
Game: 0024/500 | Score: 00 | Steps: 007 | Epsilon: 0.810
Game: 0025/500 | Score: 01 | Steps: 007 | Epsilon: 0.782
Score: 1.
Game: 0026/500 | Score: 00 | Steps: 002 | Epsilon: 0.774
Game: 0027/500 | Score: 00 | Steps: 001 | Epsilon: 0.771
Game: 0028/500 | Score: 00 | Steps: 010 | Epsilon: 0.733
